,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
843.65,1568.67,,1509.29,,1571.13,,96.21462768,,100.1568207
844.39,414.67,,413.29,,431.13,,99.66720525,,103.9694215
845.14,163.67,,163.29,,172.13,,99.7678255,,105.1689375
845.88,91.67,,96.29,,99.13,,105.0398167,,108.1378859
846.63,66.67,,68.29,,72.13,,102.4298785,,108.1895905
847.37,53.67,,52.29,,59.13,,97.42873113,,110.1732812
848.12,46.67,,49.29,,49.13,,105.6138847,,105.2710521
848.86,43.67,,44.29,,46.13,,101.419739,,105.6331578
849.6,46.67,,46.29,,51.13,,99.18577244,,109.5564603
850.35,53.67,,54.29,,58.13,,101.1552078,,108.3100429
851.09,88.67,,92.29,,94.13,,104.0825533,,106.1576632
851.83,395.67,,424.29,,446.13,,107.2333005,,112.7530518
852.58,1293.67,,1281.29,,1297.13,,99.04303261,,100.2674562
853.32,648.67,,629.29,,646.13,,97.01234834,,99.60842956
854.06,172.67,,168.29,,171.13,,97.46336943,,99.10812533
854.81,66.67,,68.29,,71.13,,102.4298785,,106.6896655
855.55,37.67,,37.29,,38.13,,98.99123971,,101.2211309
856.29,27.67,,26.29,,29.13,,95.01264908,,105.2764727
857.04,21.67,,24.29,,22.13,,112.0904476,,102.1227503
857.78,19.67,,18.29,,19.13,,92.98423996,,97.25470259
858.52,16.67,,13.29,,15.13,,79.72405519,,90.76184763
859.26,14.67,,14.29,,15.13,,97.40967962,,103.135651
860.01,14.67,,14.29,,14.13,,97.40967962,,96.3190184
860.75,15.67,,14.29,,17.13,,91.19336311,,109.3171666
861.49,11.67,,12.29,,14.13,,105.3127678,,121.0796915
862.24,14.67,,12.29,,16.13,,83.77641445,,109.9522836
862.98,12.67,,14.29,,14.13,,112.7861089,,111.5232833
863.72,11.67,,11.29,,12.13,,96.74378749,,103.9417309
864.46,11.67,,11.29,,14.13,,96.74378749,,121.0796915
865.2,16.67,,16.29,,16.13,,97.72045591,,96.76064787
865.95,24.67,,26.29,,25.13,,106.5666802,,101.8646129
866.69,101.67,,107.29,,108.13,,105.5276876,,106.35389
867.43,189.67,,192.29,,196.13,,101.3813465,,103.4059155
868.17,73.67,,72.29,,72.13,,98.12678159,,97.90959685
